hotel_names,rating,coordinates,description,links,town
ibis budget Carcassonne La Cité,7.7,"2.37880825996399,43.2076548087517","L'ibis budget Carcassonne La Cité est situé à Carcassonne, à 15 minutes à pied de la cité médiévale et à 2 km du centre-ville. ",www.booking.com/hotel/fr/ibis-budget-carcassonne-la-cite.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
SOWELL HOTELS Les Chevaliers,8.3,"2.35819995221902,43.2110324447747","Situé à Carcassonne, à 2 minutes à pied de l'Aude et offrant une vue sur le pont Vieux, le SOWELL HOTELS Les Chevaliers propose une connexion Wi-Fi gratuite. ",www.booking.com/hotel/fr/soleil-vacances-les-chevaliers.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
ibis Carcassonne Est la Cité,8.1,"2.38674759864807,43.2092520235757",L'ibis Carcassonne Est la Cité se trouve à 5 minutes en voiture du centre-ville de Carcassonne et à 1 km de la partie médiévale de la ville. ,www.booking.com/hotel/fr/ibis-berriac-2.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
ibis budget Carcassonne Aéroport - A61,7.9,"2.31039047241211,43.2045189067021",L'ibis budget Carcassonne Aéroport vous accueille à respectivement 1 et 5 km de l'aéroport et du centre-ville médiéval de Carcassonne. ,www.booking.com/hotel/fr/etap-carcassonne-aeroport.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Hotel Espace Cite,8.6,"2.36776024103165,43.2083546950589","Doté d'une connexion Wi-Fi gratuite, l'Hotel Espace Cite est installé à seulement 200 mètres du centre-ville médiéval de Carcassonne et à 500 mètres du canal du Midi, deux sites classés au patrimoine...",www.booking.com/hotel/fr/inter-espace-cite.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Premiere Classe Carcassonne,6.7,"2.3124061524868,43.2065072124278","Le Premiere Classe Carcassonne se situe à La Bouriette, à proximité de l'autoroute A61 des Deux Mers et à 3 minutes de l'aéroport. Une connexion Wi-Fi est disponible gratuitement. ",www.booking.com/hotel/fr/premiere-classe-carcassonne.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
La Rapière,8.5,"2.36704409122467,43.2082373962379","Située juste à l'extérieur des remparts, la maison d'hôtes La Rapière vous accueille à seulement 150 mètres de la ville médiévale de Carcassonne et à 15 minutes à pied du centre-ville. ",www.booking.com/hotel/fr/la-rapia-re.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
ibis Styles Carcassonne La Cité,8.7,"2.37271428108215,43.2075844286787",L'ibis Styles Carcassonne La Cité est situé à seulement 600 mètres de la ville médiévale de Carcassonne. ,www.booking.com/hotel/fr/inter-les-oliviers.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Best Western Plus Le Donjon - Cœur de La Cité Médiévale,8.4,"2.36363366246223,43.2064642015836","Installé au cœur de la cité médiévale de Carcassonne et entouré par les remparts de la ville, le Best Western Plus Le Donjon - Cœur de La Cité Médiévale possède un restaurant-bar et se compose de 3...",www.booking.com/hotel/fr/bestwesternledonjon.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
L’Antre d’Eux,9.7,"2.393966,43.193012","Doté d'une piscine extérieure, L'Antre d'Eux Situé à Carcassonne, l'établissement propose gratuitement une connexion Wi-Fi et un parking privé. ",www.booking.com/hotel/fr/antre-d-eux-carcassonne1.fr.html?label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4Aq6WnYoGwAIB0gIkYWNiNjdkNmUtY2Q0ZS00M2FiLThkM2MtZGRiMTY4NTVhNjA12AIF4AIB&sid=271a2bac938a29964d1edc9019410419&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632062254&srpvid=b99666d72b5a01bf&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Carcassonne
Mercure Mont Saint Michel,8.2,"-1.51054501533508,48.6142465295929","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...",www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Hôtel Vert,8.1,"-1.50961697101593,48.6147004862904","Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...",www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Hotel De La Digue,7.1,"-1.51091784238815,48.6168815494412","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. ",www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Le Saint Aubert,7.4,"-1.51010513305664,48.6129378347065","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ",www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
La Vieille Auberge,7.4,"-1.511457,48.636063","La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. ",www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Hotel Gabriel,8.1,"-1.5107099711895,48.6153814136834","L'Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel et à seulement 25 minutes à pied des remparts de la vieille ville. ",www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Les Terrasses Poulard,7.3,"-1.51037871837616,48.6353494256412","Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ",www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
CAMPING AUX POMMIERS - TOHAPI,8.2,"-1.5101,48.613555","Situé au Mont-Saint-Michel, en Basse-Normandie, le CAMPING AUX POMMIERS - TOHAPI propose un hébergement avec un parking privé gratuit. ",www.booking.com/hotel/fr/camping-aux-pommiers-tohapi.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Le Relais Saint Michel,7.8,"-1.51039615273476,48.6175872716489",Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. ,www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Le Mouton Blanc,7.3,"-1.50989592075348,48.6360229844471","Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. ",www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4As2fnYoGwAIB0gIkYTBhOGNlYzctYTkxOC00MmM4LTlkNzUtODQyOGQ3Y2ZkZDAy2AIF4AIB&sid=f6d6baccb59ba3e1cef889c358763f9d&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632063437&srpvid=6ab66926b9c50024&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
B&B Hôtel Saint-Malo Centre,7.4,"-1.99040146765901,48.6368232447962","Le B&B Hôtel Saint-Malo Centre est situé à Saint-Malo, à 2 km de la mer et à 2,4 km du grand aquarium. ",www.booking.com/hotel/fr/b-b-saint-malo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
hotelF1 Saint Malo,7.3,"-1.987021,48.621323",L'hotelF1 Saint-Malo propose un hébergement à Saint-Malo. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement. Chaque chambre donne accès à une salle de bains commune. ,www.booking.com/hotel/fr/hotelf1-saint-malo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
ibis budget Saint Malo Centre,7.6,"-2.0094162226269,48.6382726450807","Situé à 25 minutes à pied de la plage de Saint-Malo et à 2,8 km du Grand aquarium, l'ibis budget Saint Malo Centre propose des chambres modernes avec une télévision par satellite à écran plat décorées...",www.booking.com/hotel/fr/etap-saint-malo-centre.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Anne de Bretagne,6.3,"-2.02475398778915,48.6506405397079","Situé dans la vieille ville fortifiée de Saint-Malo, à moins de 300 mètres du port de plaisance, l'Anne de Bretagne se trouve à proximité du terminal ferry et du parc des expositions. ",www.booking.com/hotel/fr/anne-de-bretagne.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Escale Oceania Saint Malo,8.3,"-2.00883775949478,48.6542800916228","L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. ",www.booking.com/hotel/fr/mascottesaintmalo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hotel d'Aleth,8.0,"-2.02171236276627,48.6359308137732","Situé en face du port des Bas Sablons, l'Hotel d'Aleth se trouve à seulement 1,9 km de la vieille ville de Saint-Malo. ",www.booking.com/hotel/fr/d-aleth.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Les Roulottes de la Baronnie,8.1,"-1.99639856858994,48.6224108217088","L'établissement Les Roulottes de la Baronnie se situe à Saint-Malo, à seulement 4 km de la plage et du centre-ville. Il dispose d'une connexion Wi-Fi gratuite et d'une piscine extérieure. ",www.booking.com/hotel/fr/les-roulottes-de-la-baronnie.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hôtel de la Gare,8.3,"-2.009096,48.646646","Situé à moins de 2,2 km de la plage de Rochebonne et à 2 km du fort du Petit-Bé, l'Hôtel de la Gare propose des chambres à Saint-Malo. ",www.booking.com/hotel/fr/de-la-gare-saint-malo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hotel de l'Europe,7.5,"-2.00852662324905,48.6478513381886","L'Hotel de l'Europe propose des chambres non-fumeurs fonctionnelles dotées d'une télévision, d'un téléphone et d'une connexion Wi-Fi gratuite à seulement 10 minutes de marche de la principale plage de...",www.booking.com/hotel/fr/de-l-europe-saint-malo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Le Britannic,8.1,"-2.00719356536865,48.6467882910655","Situé à Saint-Malo, à moins de 2,1 km de la plage de Rochebonne et à 1,4 km du Palais Le Britannic propose des hébergements dotés d'une connexion Wi-Fi gratuite. ",www.booking.com/hotel/fr/le-britannic.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgC0J-digbAAgHSAiRjNDBhYmFjYi0wMDZlLTRkNGItOGZmYS1mYzhmYmUyYTBlZjjYAgXgAgE&sid=4372d13d6cb588f4b3e15838ef8b0c14&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632063441&srpvid=70ea6928fe6c00e9&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
ibis budget Bayeux,8.2,"-0.646487474441528,49.2542420864123","L’ibis budget Bayeux vous accueille entre Caen et Cherbourg, à proximité de la sortie 36 de la route N13 et à seulement 13 km des plages du débarquement. ",www.booking.com/hotel/fr/etap-bayeux.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaKkBiAEBmAENuAEYyAEF2AEB6AEB-AEDiAIBqAIEuALTn52KBsACAdICJGE4ZjQwMmU0LTNmMDctNDUxMS04NGViLWVjZTY3OTQ2ZjVjZdgCBeACAQ&sid=c43408cd3ca24e348b45915faf87c0b8&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632063443&srpvid=ca556929cded02f5&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Bayeux
